date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:09	104469/104469	---M--	200	added ('OK')	image/png	etag:W/%2219815-194620c072d%22	http://127.0.0.1:5500/logo.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/logo.png	(from http://127.0.0.1:5500/index.html)
01:07:13	98460/98460	---M--	200	added ('OK')	image/png	etag:%2210768cc03a913fd1a3c725dbf7fc82d5%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67332f52400475f23a434aef_occupy256.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67332f52400475f23a434aef_occupy256.png	(from http://127.0.0.1:5500/index.html)
01:07:13	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:07:13%20GMT	http://127.0.0.1:5500/pricing	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/pricing.d.delayed	(from http://127.0.0.1:5500/index.html)
01:07:16	105120/105120	---M--	200	added ('OK')	image/png	etag:%22cda7db0fc027fe7a3620dd6a6612f94e%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6733069ca695e564367c9d83_17827f0d-6e4a-402b-801f-2cf4c84d35cf.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6733069ca695e564367c9d83_17827f0d-6e4a-402b-801f-2cf4c84d35cf.png	(from http://127.0.0.1:5500/index.html)
01:08:02	560976/560976	---M--	200	added ('OK')	image/webp	etag:W/%2288f50-194621606d5%22	http://127.0.0.1:5500/background.webp	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/background.webp	(from http://127.0.0.1:5500/index.html)
01:08:03	924038/924038	---M--	200	added ('OK')	image/jpeg	etag:%22ec2799d3c8aeb13ed5f2c533758e91bb%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6737805cce99af570133e91f_Untitled_Artwork-6.jpeg	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6737805cce99af570133e91f_Untitled_Artwork-6.jpg	(from http://127.0.0.1:5500/index.html)
01:08:04	1119891/1119891	---M--	200	added ('OK')	image/png	etag:%22869a04ac69891badd27c1c8db52feb06%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330321cde45f7e1ddc6beb_2bfebb6a-8412-4f18-bb27-cff1acda2cd8.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330321cde45f7e1ddc6beb_2bfebb6a-8412-4f18-bb27-cff1acda2cd8.png	(from http://127.0.0.1:5500/index.html)
01:08:04	186084/186084	---M--	200	added ('OK')	image/jpeg	etag:%22991ee5c5f19705a67d568f2414277804%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/674df786cc90b144c69b39fc_2024-12-02%2011.06.59.jpg	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/674df786cc90b144c69b39fc_2024-12-02%2011.06.59.jpg	(from http://127.0.0.1:5500/index.html)
01:08:05	47112/47112	---M--	200	added ('OK')	image/png	etag:%225b80ade3b455a953728c249c0091a851%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6764715362a9416e4af5b52f_Screen%20Shot%202024-12-19%20at%2012.17.31%20PM.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6764715362a9416e4af5b52f_Screen%20Shot%202024-12-19%20at%2012.17.31%20PM.png	(from http://127.0.0.1:5500/index.html)
01:08:05	87041/87041	---M--	200	added ('OK')	image/png	etag:%221d41684e545bb8e3f060be3ad23f1acb%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6764742285d0a09d3b41b8c3_Untitled%20(500%20x%20500%20px).png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/6764742285d0a09d3b41b8c3_Untitled%20(500%20x%20500%20px).png	(from http://127.0.0.1:5500/index.html)
01:08:05	214596/214596	---M--	200	added ('OK')	image/jpeg	etag:%2297c1b063dfd5fcdfa7b9ecec359319e6%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330f4ea65b50486e0d0c6e_IMG_0622.JPG	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330f4ea65b50486e0d0c6e_IMG_0622.jpg	(from http://127.0.0.1:5500/index.html)
01:08:06	1912738/1912738	---M--	200	added ('OK')	image/png	etag:%22ea77b82a348c9664d9ce24abceb492a0%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330bf8da398ffa4ad0717a_Untitled%20design%20(3).png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/67330bf8da398ffa4ad0717a_Untitled%20design%20(3).png	(from http://127.0.0.1:5500/index.html)
01:08:08	144/144	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jan%202025%2000:08:06%20GMT	http://127.0.0.1:5500/about	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/127.0.0.1_5500/about.16.delayed	(from http://127.0.0.1:5500/index.html)
01:08:08	1406410/1406410	---M--	200	added ('OK')	image/png	etag:%2208da958fc5f0b1251ef55a09f4200073%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/673308bc957e36539ac071d8_3.png	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/673308bc957e36539ac071d8_3.png	(from http://127.0.0.1:5500/index.html)
01:08:08	854794/854794	---M--	200	added ('OK')	image/jpeg	etag:%223c8344459602e702606e5b9634309425%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/673780756b5050764953cf64_Untitled_Artwork-8.jpeg	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/673780756b5050764953cf64_Untitled_Artwork-8.jpg	(from http://127.0.0.1:5500/index.html)
01:08:09	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6733007aeb4a9195aace85a4	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c86012.js	(from http://127.0.0.1:5500/index.html)
01:08:10	1812793/1812793	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a4030303a66fa3f79df202d8de281e01%22	https://cdn.prod.website-files.com/6733007aeb4a9195aace85a4/js/webflow.2450f0f73846bae7afbe4740eb65a7e1.js	C:/My%20Web%20Sites/http___127.0.0.1_5500_index.html/cdn.prod.website-files.com/6733007aeb4a9195aace85a4/js/webflow.2450f0f73846bae7afbe4740eb65a7e1.js	(from http://127.0.0.1:5500/index.html)
